date,kalman_filtered_lake_water_levels
20170317,217.90940695464684
20170318,217.79728504368617
20170321,217.6919216573189
20170322,217.6533234858675
20170402,218.0104253614368
20170406,218.0496653506776
20170410,217.8924902221126
20170413,218.05866964155376
20170414,217.9282516453418
20170417,217.98561530182008
20170418,217.95838658250995
20170429,218.27813241532417
20170503,218.02271585834458
20170507,217.98557261963276
20170510,217.98414902153277
20170511,217.91970357907064
20170514,217.96977796814977
20170526,218.23529846235704
20170530,218.04008882652715
20170603,217.9462719669776
20170606,218.09194213978336
20170607,217.97121617606825
20170610,217.94000399650477
20170611,217.88424687256418
20170622,218.2256921436043
20170626,218.1428071569078
20170630,218.0287661088186
20170703,218.08491670918062
20170704,217.97091438945185
20170707,218.07026153536495
20170708,217.99775576591483
20170719,218.17944369742983
20170723,218.04825780959405
20170727,217.87074255146632
20170730,217.91904344210263
20170731,217.8922298295128
20170803,217.86540003555504
20170804,217.7950668113137
20170815,217.99617177071823
20170819,217.8571648161278
20170823,217.66814134803786
20170826,217.81577361076847
20170827,217.67195010220928
20170830,217.63065770390722
20170911,217.724167212392
20170915,217.59340008501508
20170919,217.44625872559863
20170922,217.56639878239037
20170923,217.46232873321958
20170926,217.44387581024156
20170927,217.35357390832178
20171008,217.5285754787419
20171012,217.57783695900034
20171016,217.38111683204062
20171019,217.27624600396464
20171020,217.21543978455247
20171023,217.41275378130464
20171024,217.44436159844517
20171104,217.70052264414912
20171108,217.42415169021942
20171115,217.4999913438731
20171116,217.29470772872554
20171119,217.21213634539282
20171120,217.109877645381
20171201,217.3622256037013
20171205,217.13507789456625
20171209,216.87366023017637
20171212,216.99295305854818
20171213,216.78746128197668
20171216,216.76151812489337
20171217,216.66935567696683
20171228,216.6255252090707
20180101,216.65968243399394
20180105,216.5758474326574
20180108,216.9451374205326
20180109,216.8961788542112
20180112,216.83850850779268
20180113,216.83274803535642
20180124,216.49530998569506
20180128,216.6040874752748
20180201,216.22486144173268
20180204,215.96036609238448
20180205,216.19574723023874
20180208,215.89188819854226
20180209,216.27242335404503
20180220,216.17763249537666
20180224,216.87504734597957
20180228,216.82080629655948
20180303,216.81939484762387
20180304,216.87162730365776
20180307,216.9732603918817
20180308,216.98595741831886
20180319,217.17618803708234
20180323,217.12394666376167
20180327,217.136589502239
20180330,217.14384848786824
20180331,217.0604146100899
20180403,216.94212697193876
20180404,216.97290378201743
20180415,217.14196621256644
20180419,217.33972508342785
20180423,217.10669994160716
20180426,217.2486306590274
20180427,217.13560562951955
20180501,217.00594171586877
20180512,217.30864830680642
20180516,217.15566041485144
20180527,217.12064705123842
20180528,217.13649738561608
20180608,217.41776136669893
20180612,217.39753550397583
20180619,217.384604721914
20180620,217.29041090232164
20180623,217.27784558864025
20180624,217.1453888708432
20180705,217.43227743220822
20180709,217.4029236817312
20180713,217.30495429714435
20180716,217.2870025670767
20180717,217.19184218870242
20180720,217.32052238876724
20180801,217.51140389836
20180805,217.37714690531442
20180809,217.2872838991091
20180812,217.44668554486776
20180813,217.359289882773
20180816,217.30410508529062
20180817,217.2135681218037
20180828,217.5256519339285
20180901,217.34469789581883
20180905,217.17586096842396
20180908,217.301512703025
20180909,217.15061830197885
20180912,217.22184470389445
20180913,217.09512899241466
20180924,217.3723468623248
20180928,217.18792087018565
20181002,217.07413067893935
20181005,217.11231073331948
20181006,217.02102596010718
20181009,217.12775335404297
20181010,217.09923904726014
20181021,217.31676959528946
20181029,217.02903424639288
20181101,217.05708258304065
20181102,216.98268102205816
20181105,217.02542858437434
20181106,217.03031810222583
20181117,217.1108948003324
20181125,216.8248773547328
20181128,216.8667296552437
20181129,216.73898841633954
20181203,216.55549359897464
20181218,216.83426972350438
20181222,216.65280195579408
20181225,216.89784673619786
20181226,216.80466023378932
20181229,216.71822227298273
20181230,216.69491302373777
20190110,216.98004481090953
20190114,216.83187014648666
20190118,216.5453269785916
20190121,216.82741777190907
20190122,216.73565072108462
20190125,216.55003606708786
20190126,216.40581180955712
20190206,216.81064838634967
20190210,216.74894519752633
20190214,216.56060696734488
20190217,216.93880826768972
20190218,216.79721387634774
20190221,216.5338067329102
20190222,216.28254674257627
20190305,216.92710973463517
20190309,216.83665034007953
20190313,216.79314698141593
20190316,216.98541434195155
20190317,216.8755123018907
20190320,216.97707512776026
20190321,216.66882880854186
20190401,216.03008001996196
20190405,216.73214324446528
20190409,217.09809735473888
20190412,216.31441959754395
20190416,217.19280258967393
20190417,217.1346531791273
20190428,217.42628651860366
20190502,217.350427268131
20190506,217.1696173576682
20190509,217.28529456563575
20190510,217.17162298726265
20190513,217.24392429324837
20190514,217.27321395280742
20190525,217.5441313253654
20190529,217.49881854809695
20190602,217.34723101306022
20190605,217.43013375392653
20190606,217.346275492338
20190609,217.40715780682564
20190610,217.39027010472284
20190621,217.62494594074803
20190625,217.5008121447383
20190629,217.30595283237966
20190702,217.46723805662862
20190703,217.38058227253
20190706,217.40161421357863
20190707,217.25710743995535
20190718,217.59229598264807
20190722,217.49499254265945
20190726,217.39737095271917
20190729,217.4672617384064
20190730,217.3620739189268
20190803,217.21507836650687
20190814,217.52318155889773
20190822,217.25145085248508
20190825,217.43925805908134
20190826,217.33858742623175
20190829,217.32860379574112
20190830,217.3700457406424
20210603,217.03207471269155
20210604,217.01987392356506
20210607,217.0017928171615
20210608,216.98066466481458
20210623,217.06807355687224
20210627,217.05220291162394
20210630,216.99705598389187
20210701,216.98561798909475
20210704,216.98931238535192
20210705,217.0997173855773
20210716,217.0559887841654
20210720,217.02022489732272
20210724,216.99834853623523
20210727,216.9571729832667
20210728,216.99581359188562
20210731,216.96079792164537
20210801,217.00334300659694
20210812,216.67450976849432
20210816,216.88903413406248
20210820,216.93196134848088
20210823,217.0127705095506
20210824,216.9475726278394
20210827,216.9086761523292
20210828,216.84205795689502
20210908,216.80047980824543
20210912,216.87409075918544
20210916,216.90772266852753
20210919,216.98125384779806
20210920,216.96517522773775
20210923,216.84261142310174
20210924,216.88849539645148
