date,lake_water_level,in_situ_lake_water_level,lake_water_levels_nn
2020-03-12,217.02890486412764,217.801,217.31372
2020-03-15,216.6624471,217.795,216.94734
2020-03-16,217.2673601,217.802,217.55553
2020-03-19,217.1378421,217.791,217.22429
2020-04-04,216.2136489,217.818,216.64236
2020-04-08,217.50416111815275,217.821,217.82051
2020-04-11,217.58988889549082,217.827,217.879
2020-04-12,217.5567060949951,217.829,217.86891
2020-04-15,217.3886307,217.837,217.48895
2020-04-27,217.6290073,217.881,217.93697
2020-05-01,217.528604,217.897,217.835
2020-05-05,217.6154558,217.937,217.92671
2020-05-08,217.573989,217.937,217.8403
2020-05-09,217.6418196237904,217.933,217.9478
2020-05-12,217.5786986,217.941,217.82458
2020-05-24,217.45459678734122,217.898,217.77519
2020-05-28,217.5842794,217.89,217.87611
2020-06-01,217.6307371,217.915,217.94318
2020-06-04,217.5795955,217.893,217.88902
2020-06-05,217.7457795,217.859,217.99916
2020-06-08,217.4438516,217.89,217.62617
2020-06-20,217.5875713007592,217.912,217.90685
2020-06-24,217.53064176512538,217.904,217.81062
2020-06-28,217.64512243138626,217.948,217.96161
2020-07-01,217.5760268,217.956,217.8343
2020-07-02,217.62593622367189,217.95,217.93407
2020-07-05,217.5424603,217.961,217.61824
2020-07-17,217.68392714803844,217.997,218.00168
2020-07-21,217.6786331,217.992,217.98334
2020-07-25,217.73094480057063,217.989,218.04947
2020-07-28,217.5892006,217.972,217.90404
2020-07-29,217.6615216545985,217.977,217.97446
2020-08-01,217.6900197,217.939,217.916
2020-08-13,217.6322066,217.917,217.94647
2020-08-17,217.539482050656,217.85,217.84984
2020-08-21,217.46546533555087,217.836,217.7765
2020-08-24,217.4867891,217.826,217.78824
2020-08-25,217.42485967689285,217.816,217.63956
2020-08-28,217.4235997,217.813,217.4004
2020-09-09,217.5219035,217.838,217.8394
2020-09-13,217.4075055491843,217.724,217.7245
2020-09-17,217.40891243203248,217.738,217.69783
2020-09-20,217.3977093,217.738,217.68832
2020-09-21,217.20246082259914,217.763,217.47556
2020-09-24,217.2302478,217.706,216.7012
2020-10-06,217.3229869,217.663,217.6403
2020-10-10,217.2977757,217.643,217.60985
2020-10-14,217.4210268467621,217.655,217.73462
2020-10-18,217.4935022002956,217.611,217.7788
2020-10-21,217.1790769,217.613,216.87337
2020-11-06,217.1759312,217.548,217.45055
2020-11-10,217.1440087,217.549,217.45161
2020-11-13,217.0750157,217.583,217.35872
2020-11-14,216.59485084839832,217.616,216.83125
2020-11-17,217.1160707,217.528,217.43387
2020-11-29,216.84747000199275,217.47,217.15933
2020-12-03,216.8963038,217.457,217.21712
2020-12-07,216.85973093918685,217.438,217.17339
2020-12-10,216.7229292,217.423,217.03407
2020-12-11,216.8129816706812,217.418,217.1248
2020-12-14,216.7927114,217.412,217.0915
2020-12-26,216.62869114899004,217.374,216.90126
2020-12-30,216.537669,217.368,216.82599
2021-01-03,216.67497722218516,217.3719773,216.98283
2021-01-06,216.4573743,217.3691629,216.73457
2021-01-07,216.7032701,217.369875,217.00627
2021-01-10,216.8063188,217.3711462,217.04945
2021-01-22,216.5459586642004,217.3741976,216.81357
2021-01-26,216.2869637345317,217.3744664,216.61958
2021-01-30,216.25332885132616,217.3701136,216.56558
2021-02-02,216.68265643484875,217.3764811,216.80725
2021-02-03,216.82317438447313,217.3841281,217.136
2021-02-06,216.5145868,217.3928485,216.75412
2021-02-18,216.7965178,217.3962576,217.02164
2021-02-22,217.0384593,217.3964508,217.34433
2021-02-26,216.3527642308517,217.3919835,216.66685
2021-03-01,216.8978555,217.377498,217.11671
2021-03-02,216.44566981949265,217.3818826,216.773
2021-03-05,216.6826098,217.3695455,216.83974
2021-03-17,216.97811095801035,217.3596402,217.28844
2021-03-21,216.99445389045317,217.3517235,217.31172
2021-03-25,216.07238135679464,217.34425,216.39906
2021-03-28,216.8242349,217.3490316,216.82658
2021-03-29,217.07389886864047,217.3496174,217.39052
2021-04-01,216.8359961,217.3622917,216.80652
2021-04-13,217.0177904,217.337053,217.33276
2021-04-17,217.0665313429623,217.3343788,217.37749
2021-04-21,217.0692774,217.3285758,217.41586
2021-04-24,217.02487378792145,217.3241742,217.33635
2021-04-25,216.9547943,217.3139659,217.27031
2021-04-28,216.9104909,217.3002197,217.2277
2021-05-10,216.8856668,217.2705076,217.19534
2021-05-14,216.8280801053488,217.2700189,217.15376
2021-05-18,216.92850334620923,217.2989697,217.24075
2021-05-21,216.8510857,217.2143598,217.13872
2021-05-22,217.17538596826626,217.2159735,217.48222
2021-05-25,216.8945755,217.2677841,217.1439
